FID,BID,Latitude,Longitude,BarTyp,IsBarrier,Drop,FRRU,fdy150,fdy300,fdy2000,FACT_AADT,BFW_ft,SalmoMFHU,ShadMFHU,AlBkMFHU,BktMFHU,SalmoP,ShadP,BktP,AleP,BbkP,Cpcty_kW,StrcRD200,StrcRD1000,RsvrVolEst,AlRm5d_skm,fdr150cfs,fdr300cfs,fdr2000cfs,Hazard,ExpPow,ExpCost,RsvrRm_skm,CulvCond,Private,RepDiam_ft,DnCost,area_skm,Qtot_m3,MDIS_m3s_e,NCAP_m3_e,MaxRecurCu,MaxRecurDa,OBJECTID,SiteID,PRIORITY,N_PRIOR,N_CULVCOND,CulvRisk,N_PFLculv,HazEst,DamRisk,OT_RISK,RhP,FLRU,AlRm_5d_sm,Al5Dam,RhHabA,BkTHabA,SalmoHabA,ShadHabA,SLamHabA,EelHabA,wshdIssue,RH_P,ASAL_P,ASHA_P,BKT_P,AE_P,SL_P,Mean_P,overlap,HUC8,HUC12,TOWN,GEOCODE,Lngth_ft,MaxRecurCu_rcp45,CulvRisk_rcp45
0,1000000020,43.7165412,-70.26199047,9,0,0,2189395.391,0.809592379,0.547297297,0.074545857,0,214.1483454,2114326.881,2002314.221,17805616.53,4870632.708,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,229.46,999,0,256.9780144,0,2825.138605,999,0,0,999,0,0,NaN,999,0,999,999,10,0,999,0,1,201.6374,0,15.4821811,19794977.07,9310639.143,4980791.571,3918462.05,9499865.679,10860835.06,0,1,1,1,1,1,1,0,0,1060001,10600010306,Falmouth,5070,0,999,999
1,1000000002,44.09051157,-69.78270239,9,0,0,27723045.97,0.850701063,0.684966324,0.309209133,0,442.3916868,15007432.51,6380854.65,64171150.22,21498897.32,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,887.528,999,0,530.8700242,0,15269.06337,999,0,0,999,0,0,NaN,999,0,999,999,10,0,999,0,1,759.58895,0,55.84319069,84286300.08,35288003.27,37114615.68,23662284.34,38177943.72,59346518.61,0,1,1,1,1,1,1,0,0,1030003,10300032409,Dresden,15070,0,999,999
2,1000000022,44.03193902,-69.53403126,9,0,0,939065.4601,0.520334174,0.278373266,0,0,207.9672326,0,1696849.663,48298752.35,2038378.395,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,137.161,999,0,249.5606791,0,2639.117979,999,0,0,999,0,0,NaN,999,0,999,999,10,0,999,0,1,78.2865,0,45.35595085,52879711.2,3309203.403,0,4860064.527,6190006.682,8124495.228,0,1,1,1,1,1,1,0,0,1050003,10500030304,Damariscotta,15060,0,999,999
3,1000000021,44.43162244,-69.00764663,9,0,0,5031952.384,0.674590164,0.421596579,0.003314326,0,336.2055924,628581.8057,2538051.306,134997016.3,9358140.503,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,667.986,999,0,403.4467108,0,8064.888874,999,0,0,999,0,0,NaN,999,0,999,999,10,0,999,0,1,273.61965,0,130.344793,142686194.3,13278245.66,12770282.12,5908927.652,17343062.59,22117428.18,0,1,1,1,1,1,1,0,0,1050002,10500021803,Belfast,27010,0,999,999
4,1000000001,44.66812545,-68.81352344,9,0,0,39541446.9,0.865756575,0.656132799,0.20362071,0,519.917893,32852819.17,13714991.07,170519224.6,32072272.2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1062.873,999,0,623.9014715,0,22227.9965,999,0,0,999,0,0,NaN,999,0,999,999,10,0,999,0,1,921.9498,0,152.7215113,210675288.5,52052180.79,67729815.9,45086829.51,82089249.99,82572140.4,0,1,1,1,1,1,1,0,0,1020005,10200051007,Winterport,27260,0,999,999
5,4054,45.68728586,-69.43552436,1,1,0,0,0,0,0,0,33.99511669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,429400,0,999,0,40.79414003,495833.9008,39.1027019,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0,0,0,0,0,0,0,0,70378.88653,0,0,0,0,0,0,0,0,0,1030001,10300010507,T1 R13 WELS,21814,0,999,999
6,4056,46.07400427,-70.25208105,1,1,0,0,0,0,0,0,19.63993356,1293.113856,0,0,6465.56928,0,0,0,0,0,0,1,2,225964.2038,0,0.000630871,0.000315435,4.73E-05,1,321,1219800,0.212,999,0,23.56792028,1581500,10.91629644,999,0,0,999,0,0,NaN,999,0,999,999,10,1,40,40,0,0.1378,0,0,0,11526.59622,6465.56928,0,11526.59622,0,0,0,0,0,0,0,0,0,29518.76171,1020001,10200010105,T5 R20 WELS,25870,0,999,999
7,4057,45.73525607,-69.56317058,1,1,0,0,0,0,0,0,39.68826244,0,0,0,55608.61614,0,0,0,0,0,0,0,0,5169408,0,0.014432498,0.007216249,0.001082437,1,209,794200,2.116704404,999,0,47.62591493,645866.8274,56.05208423,999,0,0,999,0,0,NaN,999,0,999,999,10,1,40,40,0,0.529176101,0,0,0,96638.3211,0,0,0,0,0,0,0,0,0,0,0,0,0,1030001,10300010504,Spencer Bay Twp,21825,0,999,999
8,4058,45.19718826,-69.23018284,1,0,0,0,0,0,0,0,0.344422834,0,0,0,0,0,0,0,0,0,0,17,258,0,0,0,0,0,0,0,0,0.272,999,0,0.413307401,160335.2499,0,999,0,0,999,0,0,NaN,999,0,999,999,10,1,0,0,0,0.22304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020004,10200040203,Dover-Foxcroft,21070,0,999,999
9,4059,46.01101987,-70.19346817,1,1,0,0,0,0,0,0,52.99795092,74999.12394,0,0,92273.58804,0,0,0,0,0,0,1,1,2790748.8,0,0.007791507,0.003895753,0.000584363,1,567,2154600,0.824977968,999,0,63.5975411,1741080,109.8190786,999,0,0,999,0,0,NaN,999,0,999,999,10,1,40,40,0,0.536235679,0,0,0,200021.2385,93409.02491,0,200021.2385,0,0,0,0,0,0,0,0,0,493451.502,1020001,10200010104,Dole Brook Twp,25820,0,999,999
